BUS#,x,y
1546,1251,1182
1547,668,1050
1548,686,-221
1549,332,-22
1550,322,-48
1551,753,586
1552,765,561
1553,1168,-486
1554,2279,1953
1555,1451,-458
1556,507,-416
1557,844,1491
1558,76,981
1559,1771,1914
1560,473,-20
1561,686,-2685
1562,1390,1647
1563,1432,1715
1564,1563,-1055
1565,1522,-1083
1567,1050,1444
1568,3,-187
1569,1157,-402
1570,691,-287
1571,592,-338
1572,2213,2386
1573,2193,2397
1574,-422,428
1575,1044,-449
1576,861,-757
1577,1032,-710
1578,2502,2560
1579,2310,2653
1580,2801,2749
1581,27,1398
1582,2380,1969
1583,822,-2180
1584,2131,2306
1585,107,881
1586,735,-2200
1587,1681,-2347
1588,1210,-2379
1589,2052,2095
1590,1022,203
1591,2140,2475
1592,926,1474
1593,2977,2908
1594,2721,2689
1595,2865,2748
1596,2982,2814
1597,-1096,1993
1598,2909,2742
1599,-1094,1961
1600,-1106,2014
1601,2833,2717
1602,1770,1218
1603,1610,1197
1604,1498,-532
1605,-302,-272
1606,316,-3024
1607,2576,2235
1608,2705,2282
1609,2707,2249
1610,1095,-676
1611,2223,2165
1612,2233,2144
1613,2144,1943
1614,2581,-1815
1615,2611,-1775
1616,2815,2889
1617,2829,2850
1618,2796,2885
1619,2832,2870
1620,836,-1563
1621,875,1476
1622,2287,2279
1623,1924,1854
1624,-566,379
1625,329,-115
1626,355,-490
1627,-334,403
1628,2220,2459
1629,1875,1982
1630,907,1571
1631,2122,2243
1632,2114,2269
1633,1955,-1261
1634,639,56
1635,628,70
1636,1,805
1637,1904,2304
1638,1531,1700
1639,1516,1724
1640,553,-564
1642,1409,2464
1645,861,-1721
1646,836,-1402
1647,-170,484
1648,2236,2578
1649,537,1061
1650,911,-2041
1651,-1124,2030
1652,16,475
1653,3,451
1654,-611,449
1655,-601,473
1656,-607,496
1657,-585,514
1658,2806,2717
2000,66,-4685
2001,32,-4157
2002,51,-4179
2003,992,-3064
2004,997,-3037
2005,172,-4271
2006,159,-4273
2007,169,-4378
2008,148,-4380
2009,263,-4291
2010,-25,-3913
2011,-3,-3934
2012,1039,-2934
2013,1038,-2962
2014,922,-3110
2015,857,-3331
2016,845,-3349
2017,108,-3479
2018,786,-1878
2019,776,-1869
2020,762,-1940
2021,771,-1954
2022,769,-1980
2023,784,-1957
2024,779,-1936
2025,792,-1927
2026,792,-1904
2027,743,-1962
2028,749,-1979
2029,780,-1912
2030,769,-1904
2031,758,-1965
2032,1337,-4214
2033,1313,-4240
2034,1337,-4187
2035,1317,-4224
2036,1284,-4291
2037,1274,-4304
2038,1263,-4302
2039,305,-3604
2040,440,-4194
2041,460,-4211
2042,690,-4332
2043,682,-4281
2044,676,-4257
2045,671,-4290
2046,679,-4315
2047,691,-4306
2048,549,-4447
2054,-309,-3712
2055,-314,-3692
2056,-297,-3716
2057,-256,-3780
2058,-267,-3784
2059,-275,-3768
2060,1089,-3056
2061,1082,-3101
2062,1088,-3080
2063,-101,-3147
2064,-91,-3176
2065,1372,-4478
2066,1381,-4708
2067,1245,-3952
2068,1328,-4651
2069,1355,-4754
2070,1345,-4754
2071,1335,-4760
2072,35,-4579
2073,577,-4314
2074,-14,-3759
2075,-33,-3732
2076,79,-4685
2077,-409,-3284
2078,-482,-3533
2079,-465,-3534
2080,-476,-3517
2081,-490,-3510
2082,220,-3218
2083,864,-3957
2084,988,-3796
2085,1029,-3844
2086,861,-4054
2088,1180,-1793
2089,1182,-1830
2090,154,-3805
2091,928,-3032
2092,1230,-3851
2093,966,-3987
2094,965,-4006
2095,959,-4023
2096,144,-4164
2097,453,-4193
2098,90,-3647
2099,198,-3943
2100,177,-4137
2101,40,-3765
2102,855,-1853
2103,871,-4184
2104,449,-4098
2105,264,-3628
2106,146,-3531
2107,955,-3011
2108,380,-3402
2109,224,-3741
2110,520,-4163
2111,540,-4107
2112,474,-4080
2113,805,-3646
2114,860,-3472
2117,889,-4202
2118,984,-3929
2119,889,-3055
2120,735,-2765
2121,924,-3962
2122,829,-3277
2123,604,-4088
2124,613,-4199
2125,504,-3172
2126,703,-2878
2127,786,-2975
2128,340,-3787
2129,165,-3371
2130,1069,-3967
2131,1080,-3573
2132,1077,-3585
2133,1070,-3589
2134,1073,-3577
2135,1135,-3737
2136,900,-4034
2137,1208,-3895
2138,895,-3935
2139,1136,-1803
2140,1017,-4276
2141,1026,-4274
2142,1293,-4151
2143,1253,-4202
2144,1224,-4033
2145,326,-3443
2146,464,-3836
2147,693,-3618
2148,848,-2989
2149,650,-4326
2150,592,-4392
2151,-210,-3519
2152,-228,-3487
2153,1042,-3045
2154,228,-3585
2155,1277,-4131
2156,1264,-4249
2157,1266,-4048
2158,988,-3853
2159,570,-4199
2160,325,-3872
2161,348,-3879
2162,237,-3162
2163,870,-3833
2164,937,-3740
2165,912,-3620
2166,872,-3658
2167,877,-4079
2168,854,-3647
2169,629,-2952
2170,805,-3201
2171,782,-3231
2172,1017,-3863
2173,1054,-4224
2174,1008,-4145
2175,-166,-3350
2176,204,-3789
2177,193,-3623
2178,900,-3575
2179,280,-3311
2180,778,-3471
2181,803,-3560
2182,840,-3404
2183,893,-3005
2184,666,-3924
2185,1022,-4088
2186,933,-3922
2187,1189,-3799
2188,1076,-4331
2189,399,-3860
2190,736,-2406
2191,740,-1889
2192,747,-2705
2193,742,-2706
2194,752,-3010
2195,713,-2244
2196,-491,-2732
2197,888,-4181
2198,960,-3638
2199,1007,-3430
2200,-277,-2958
2201,574,-3521
2202,721,-4255
2203,149,-3261
2204,-68,-3103
2205,-357,-3142
2206,880,-3494
2207,729,-3348
2208,453,-3333
2209,-82,-3150
2210,430,-4263
2211,411,-4354
2212,442,-4219
2213,97,-3966
2214,241,-3841
2215,167,-3906
2216,91,-3833
2217,427,-4382
2218,407,-4312
2219,120,-4188
2220,393,-3482
2221,411,-4225
2222,479,-4185
2224,1013,-4025
2225,341,-4144
2226,279,-4035
2227,2,-3847
2228,16,-3858
2229,994,-2933
2230,308,-4195
2231,941,-4072
2232,929,-4072
2233,609,-4180
2234,766,-2913
2235,821,-2923
2236,324,-3947
2237,336,-3883
2238,314,-4087
2239,105,-3527
2240,94,-3685
2241,1104,-4052
2242,1398,-4306
2243,333,-3526
2244,1502,-4440
2245,1479,-4485
2246,1510,-4562
2247,1534,-4493
2248,482,-3920
2249,472,-3932
2250,460,-3926
2251,923,-2947
2252,416,-4320
2253,1455,-4372
2254,1442,-4399
2255,1320,-4352
2256,907,-2953
2257,869,-2937
2258,1352,-4356
2259,1345,-4598
2260,1368,-4310
2261,1323,-4217
2262,1307,-4462
2263,1326,-4560
2264,1031,-3962
2265,77,-4396
2266,42,-3609
2267,-2,-3673
2268,10,-3687
2269,94,-4418
2270,-457,-3444
2271,238,-3228
2272,900,-4187
2273,849,-3735
2274,860,-3741
2275,637,-3026
2276,853,-3239
2277,1059,-3919
2278,1051,-3940
2279,1031,-4245
2280,149,-4060
2281,170,-3726
2282,101,-4289
2283,132,-4155
2284,935,-3619
2285,927,-3645
2286,275,-3385
2287,927,-3297
2288,896,-3281
2289,809,-3443
2290,810,-3479
2291,669,-4017
2292,682,-4013
2293,779,-2299
2294,426,-4322
2295,400,-3956
2296,71,-4088
2297,59,-4071
2298,380,-3478
2299,401,-3462
2300,490,-4179
2302,268,-4179
2303,-404,-2893
2304,-388,-2854
2305,-386,-2845
2306,339,-3574
2307,1400,-4609
2308,1411,-4780
2309,1443,-4803
2310,1429,-4466
2311,1421,-4724
2312,1064,-4051
2313,52,-4501
2314,-424,-3362
2315,227,-3247
2316,877,-4197
2320,869,-3729
2321,880,-3719
2322,961,-3351
2323,954,-3371
2324,970,-3337
2325,967,-3314
2326,672,-4086
2327,672,-4193
2328,689,-4097
2329,683,-4184
2330,698,-4213
2331,708,-4203
2332,765,-2329
2333,800,-2378
2334,791,-2400
2335,950,-4005
2336,936,-4019
2337,513,-3245
2338,1031,-4353
2339,334,-3643
2340,356,-3649
2341,343,-3661
2342,-281,-3625
2343,-249,-3683
2344,1404,-4399
2345,81,-4580
2346,-392,-3198
2347,-389,-3223
2348,-437,-3349
2349,-382,-3237
2350,216,-3308
2351,110,-4266
2352,947,-4029
2353,132,-3428
2354,313,-3535
2355,-1806,-942
3000,-172,5490
3001,-918,5722
3002,-1218,5893
3003,-1473,6366
3004,-1417,6783
3005,-1475,6850
3006,-1458,6865
3007,-1409,2892
3008,-1477,4995
3009,-1313,4068
3010,-1345,4055
3011,-1396,4072
3012,-1453,4074
3013,-1406,4123
3014,-891,2956
3015,-881,2975
3016,-931,2995
3017,-742,4092
3018,-758,4083
3019,-763,4172
3020,-776,4267
3021,-1296,4156
3022,-1385,4213
3023,-1314,5960
3024,120,3768
3025,162,3854
3026,180,3842
3027,-1221,4135
3028,-1233,4114
3029,-1272,4174
3030,-1620,4942
3031,-1608,4954
3032,-1667,5002
3033,-1500,5135
3034,-1239,4414
3035,-1309,4480
3036,-1758,4945
3037,-1636,4884
3038,-1716,4891
3039,43,4965
3040,62,5064
3041,102,5025
3042,76,5045
3043,94,5061
3044,-973,5330
3045,-992,5329
3046,-988,5391
3048,-553,3019
3049,-551,3089
3050,123,5110
3051,159,5054
3052,189,5198
3053,233,5132
3054,120,5207
3055,181,5298
3056,-996,2948
3057,-1079,2961
3058,-1308,3419
3059,-1401,3455
3060,11,5168
3061,-194,5389
3062,-151,5482
3063,-1170,5825
3064,-1253,5859
3065,-892,5648
3066,-890,5735
3067,-937,6566
3068,-1018,6497
3069,-725,6053
3070,-696,6159
3071,-1507,6335
3072,-1150,4053
3073,-1156,4036
3074,-951,2806
3075,-1029,2801
3076,-947,6840
3077,-1074,6928
3078,-1084,6940
3080,-1426,7042
3081,-1452,7139
3082,-1973,6964
3083,-1467,7293
3085,-1460,7399
3086,-1675,7225
3087,-1726,7292
3088,-1732,7269
3089,-1650,7315
3090,-1797,7360
3091,-1678,7426
3092,-1814,7386
3093,-1689,7458
3094,-1895,6824
3095,-1976,6884
3096,-1013,6597
3097,-969,6726
3098,-984,6733
3099,-923,2943
3100,-1000,2976
3101,-1438,4311
3102,-1446,4295
3103,-1510,4330
3106,-1021,5352
3107,-1049,5444
3108,-693,5928
3109,-665,6032
3110,-686,6022
3111,-938,5832
3112,-955,5932
3113,-929,5934
3114,-1373,6081
3115,-1450,6140
3116,-1254,4050
3117,-470,5484
3118,-434,5577
3119,-597,5531
3120,-535,5511
3121,-514,5595
3122,-1335,5018
3123,-1272,2398
3124,-1374,2374
3125,-1373,2400
3126,1102,4287
3127,1094,4307
3128,-1275,6726
3129,-1207,3092
3130,-1306,3114
3131,-1005,3251
3132,-1095,3285
3133,-1085,3311
3134,-1006,2471
3135,-1059,2437
3136,-1068,2461
3137,493,4108
3138,528,4209
3139,552,4200
3140,-1156,6759
3141,-1145,6756
3142,-1072,6873
3143,-1621,7237
3144,-1603,7237
3145,-1616,7306
3146,-836,6852
3147,-828,6943
3148,-1323,6690
3149,-419,5506
3150,10,5394
3151,-54,5307
3152,-1185,5417
3153,-1020,5304
3154,631,4150
3155,618,4166
3156,571,4159
3157,-1392,4828
3158,307,3563
3159,-655,6010
3160,-782,5815
3161,-946,5782
3162,-960,5877
3163,-544,2719
3164,-1247,5882
3165,-1049,5738
3166,-1107,5801
3167,-673,5521
3168,-650,5604
3169,-1204,5918
3170,-845,2971
3171,-866,2904
3172,-1334,6180
3173,-1258,4095
3174,-1425,4091
3175,-1050,5334
3176,-1094,5419
3177,-1249,2385
3178,-1332,2344
3179,-1336,2364
3180,-1556,7407
3181,-1538,7407
3182,-1544,7284
3183,-1551,7483
3184,-1482,4608
3185,-1484,4591
3186,-1553,4615
3187,-1347,4373
3188,-1432,4432
3189,-1369,7106
3190,-791,6837
3191,-1368,7212
3192,-976,3255
3193,-1046,3295
3194,-1502,6107
3195,-1417,6057
3196,-1067,5850
3197,-1105,5940
3198,-944,6649
3199,-961,6663
3200,-909,6699
3201,-759,5917
3202,-751,6043
3203,-995,3510
3204,-989,3482
3205,-1012,3485
3206,-1033,3534
3207,-952,6702
3208,-1016,6716
3209,-881,6734
3210,-944,7324
3211,-1228,6939
3212,-1446,2805
3213,-1492,2904
3214,-1137,2866
3215,-1170,6962
3216,-1528,4867
3217,116,5044
3218,125,5009
3219,-1798,4924
3220,-1791,4951
3221,-1863,4969
3222,-945,3336
3223,-1320,7005
3224,-1321,7107
3225,-2013,6902
3226,-1030,3422
3227,-1101,3486
3228,-1112,3466
3229,-635,3096
3230,-639,3166
3231,-1064,3231
3232,-117,5514
3233,-1195,4623
3234,-878,2832
3235,-890,2844
3236,-917,2805
3237,-472,4285
3238,-487,4295
3239,-446,4346
3240,-1445,7178
3241,-826,5825
3242,-803,5828
3243,-629,6039
3244,-614,6028
3245,-1281,6365
3246,-1231,6287
3247,-1408,6145
3248,-1173,6240
3249,-1688,4941
3250,-1810,5025
3251,-1899,5093
3252,-1455,2867
3253,-1400,2824
3254,-1486,2933
3255,-1308,2821
3256,-1347,2890
3257,-1591,2968
3258,-631,5997
3259,-1099,6377
3260,-1100,6461
3261,405,3966
3262,-1234,5910
3263,-1368,4590
3264,-1446,4647
3265,510,4073
3266,544,4081
3267,-972,7187
3270,-1045,6993
3271,-580,2683
3272,-134,5468
3273,-22,5394
3274,-68,5301
3275,-1166,5437
3276,-942,6940
3277,-1035,5731
3278,485,4116
3279,569,4242
3280,631,4333
3281,-124,3718
3282,1072,4315
3283,-997,6898
3284,-1358,5009
3285,-1065,5797
3287,1311,4487
3288,1330,4476
3289,1503,4551
3290,575,4126
3291,-1328,6836
3292,-1362,6928
3293,-1113,6493
3294,-1125,6585
3295,562,3886
3296,-1377,4903
3298,-66,5611
3299,-1209,2547
3300,1342,4456
3301,-737,6134
3302,66,3102
3303,147,3136
3304,138,3156
3305,-1008,7062
3306,-1608,2122
3307,-1599,2101
3308,-1705,2130
3309,-1686,2079
3310,-1011,7028
3311,-668,4073
3312,-877,4131
3313,-919,4230
3314,-852,4136
3315,-890,4237
3316,-928,4294
3317,-642,4085
3318,-626,4078
3319,-611,4070
3320,-614,4125
3321,-402,2756
3322,-411,2737
3323,-357,2729
3324,-1281,2170
3325,-1305,2188
3326,-1331,2135
3327,-1344,2103
3328,-1388,2149
3329,-1687,7268
3330,-1724,7372
3331,-1691,7364
3332,-2094,6974
3333,-26,3018
3334,-1391,3478
3335,52,3029
3336,44,3051
3337,-422,2919
3338,-434,2896
3339,-390,2893
3340,-843,2502
3341,-884,2464
3342,-1138,3004
3343,-1230,3017
3344,-283,3067
3345,-265,3057
3346,-294,3088
3347,-249,3097
3348,-564,4050
3349,-579,4063
3350,-520,4149
3351,-533,4111
3352,-436,2543
3353,-386,2501
3354,-564,4081
3355,-253,3222
3356,-226,3209
3357,-274,3142
3358,-1532,3501
3359,-1519,3506
3360,-1593,3546
3361,-1600,3528
3362,-17,3141
3363,40,3209
3364,54,3191
3365,-1266,2451
3366,-1382,2533
3367,-1314,2549
3368,-530,4320
3369,-512,4317
3370,-508,4387
3371,-1496,3449
3372,-1609,3477
3373,-1606,3457
3374,-155,3093
3375,-857,7043
3376,-964,7085
3378,-422,2700
3379,-438,2691
3380,-389,2652
3381,-410,2650
3382,-541,4204
3383,-545,4293
3384,-1580,3487
3385,-496,2609
3386,-1347,2481
3387,-1456,2485
3388,-1451,2507
3389,-1451,2464
3390,-1030,3163
3391,-1031,3182
3392,-1090,3172
3393,-657,4115
3394,-661,4211
3395,-969,3656
3396,-1030,3726
3397,-1728,2079
3398,-1821,2053
3399,-1830,2075
3400,-1828,2098
3401,-896,6940
3402,-65,3166
3403,-17,3237
3404,-1277,2249
3405,-1302,2259
3406,-1429,3441
3407,-1530,6296
3408,-1190,3461
3409,-1280,3508
3410,-1267,3530
3411,-327,2944
3412,-328,2956
3413,-187,2958
3414,-125,2966
3415,-127,2990
3416,-1437,5048
3417,-1011,4895
3418,-911,4889
3419,-1444,4973
3420,-1407,5020
3421,-1050,4874
3422,-963,4900
3423,-243,3682
3424,-211,3633
3425,-271,3717
3426,-344,3718
3427,-55,3789
3428,-612,3661
3429,-559,3661
3430,-147,4530
3431,-250,4608
3432,-1221,5429
3433,-1287,5502
3434,619,3536
3435,599,3571
3436,608,3514
3437,600,3549
3438,371,3639
3439,377,3571
3440,338,3632
3441,-1443,2173
3442,-175,4565
3443,-209,4591
3444,-307,3700
3445,-777,2968
3446,-503,2553
3447,-653,5533
3448,-1867,7466
3449,-1719,7565
3450,-1548,5071
3452,-879,6634
3453,-1945,6842
3454,-1918,6944
3455,-1933,6862
3456,-1938,6945
3457,-2042,7026
3459,-912,6796
3460,-1010,6813
3461,-738,6931
3462,-1234,7046
3463,-928,7430
3464,-1601,2924
3465,-1552,2808
3466,-1562,2879
3467,-1130,3182
3468,-1230,3206
3470,-891,3562
3471,-478,2930
3472,-489,2977
3473,-1224,2299
3474,-1309,2283
3475,-1177,4045
3476,-1090,4415
3477,-1022,4658
3478,-1071,4053
3479,-1013,3992
3480,-964,4079
3481,-937,4069
3482,-982,5236
3483,-822,5732
3484,-852,5607
3485,-837,5608
3486,-1211,6608
3487,-1243,6489
3488,-1229,6494
3489,-1252,6502
3490,-422,3036
3491,-817,2920
3492,-453,5410
3493,-398,5494
3494,-496,5364
3495,-511,5376
3496,-944,3422
3497,-101,3634
3498,-96,3624
3499,-161,3754
3500,-139,3745
3501,-177,3659
3502,-1216,4604
3503,-334,3024
3504,-479,2780
3505,-444,2787
3506,-1055,3399
3507,-127,4672
3508,-90,3729
3509,-102,3745
3510,-1122,5348
3511,-1227,2485
3512,-1211,2455
3513,-1247,2540
3514,-1250,2523
3515,-1282,2513
3516,-1736,6747
3517,-1629,6712
3518,-1155,6151
3519,-885,3246
3520,-936,3314
3521,-987,3344
3522,-952,3299
3523,-1603,7130
3524,-1645,7211
3525,348,3653
3526,389,3622
3527,390,3598
3529,-1282,6854
3530,-1231,4614
3531,-1232,4628
3532,-1165,4217
3533,-1243,4794
3534,-938,3182
3535,484,3585
3536,1025,4232
3537,526,3963
3538,523,3947
3539,1329,4401
3540,1432,4487
3541,741,3944
3542,-1363,4082
3543,-685,3675
3544,-704,3756
3545,-600,3049
3546,-981,2560
3547,-906,4002
3548,-966,4050
3549,-915,4345
3550,-918,4796
3551,-1005,4787
3552,-951,4803
3553,-980,4800
3554,-869,4570
3555,-862,4581
3556,-853,3865
3557,-833,5026
3558,-869,5466
3559,-874,5531
3560,-587,3475
3561,-1250,6362
3562,-1301,6441
3563,-92,2939
3564,-94,2929
3565,-560,5289
3566,-777,3391
3567,-813,3546
3568,-335,3514
3569,-704,5136
3570,-465,3045
3571,-466,3029
3572,-602,2881
3573,-314,4388
3574,-295,3625
3575,-277,3602
3576,-258,3572
3577,-344,3627
3578,-568,3579
3579,-602,3579
3580,-212,4458
